epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,641.529,0.95036,2.10097,0.99084,0.97675,0.88718,0.96001,0.74367,0.86607,1.44742,0.92722,0.000664132,0.000664132,0.000664132
2,1277.49,0.93762,1.14895,0.95998,0.94203,0.93333,0.95086,0.74815,0.80795,1.01489,0.94354,0.00130445,0.00130445,0.00130445
3,1908.18,0.92793,0.92481,0.97289,0.90931,0.95385,0.96061,0.74609,0.81212,0.81829,0.91919,0.00191837,0.00191837,0.00191837
4,2533.98,0.88405,0.78466,0.95167,0.96538,0.93846,0.97399,0.81212,0.75784,0.69621,0.92122,0.0018812,0.0018812,0.0018812
5,3159.22,0.84439,0.72277,0.94021,0.90838,0.93846,0.96249,0.8105,0.69108,0.66598,0.89235,0.0018416,0.0018416,0.0018416
6,3781.41,0.81057,0.65354,0.92778,0.95346,0.94548,0.97919,0.85031,0.66346,0.55359,0.88705,0.001802,0.001802,0.001802
7,4402.4,0.78667,0.64323,0.92627,0.95114,0.97436,0.98212,0.82336,0.68525,0.53154,0.8907,0.0017624,0.0017624,0.0017624
8,5024.92,0.75721,0.60237,0.91401,0.96933,0.97237,0.9834,0.84043,0.63929,0.49822,0.87189,0.0017228,0.0017228,0.0017228
9,5647.13,0.73095,0.57666,0.90123,0.96156,0.88718,0.94778,0.78399,0.73174,0.65102,0.9024,0.0016832,0.0016832,0.0016832
10,6272.64,0.75155,0.58981,0.90271,0.94875,0.94872,0.97826,0.84242,0.59639,0.4955,0.86847,0.0016436,0.0016436,0.0016436
11,6897.88,0.72387,0.57197,0.90356,0.96951,0.96923,0.98134,0.8375,0.62776,0.51285,0.87068,0.001604,0.001604,0.001604
12,7518.7,0.71383,0.56158,0.90612,0.96435,0.97103,0.97683,0.847,0.57746,0.4625,0.8604,0.0015644,0.0015644,0.0015644
13,8140.18,0.69846,0.53104,0.90061,0.97904,0.95823,0.98121,0.83146,0.67943,0.4835,0.87499,0.0015248,0.0015248,0.0015248
14,8766.16,0.68231,0.51454,0.89119,0.96237,0.96923,0.9791,0.84857,0.59771,0.44308,0.85107,0.0014852,0.0014852,0.0014852
15,9386.36,0.68072,0.52702,0.88643,0.96422,0.96748,0.9833,0.88268,0.5432,0.42204,0.84107,0.0014456,0.0014456,0.0014456
16,10008.7,0.68107,0.49466,0.88587,0.97765,0.95897,0.98082,0.86475,0.56068,0.44572,0.85087,0.001406,0.001406,0.001406
17,10631.5,0.6565,0.49553,0.88883,0.98429,0.96369,0.98262,0.85903,0.58194,0.44621,0.84844,0.0013664,0.0013664,0.0013664
